"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 12 04:05:25 UTC 2024","Tue Mar 12 04:05:34 UTC 2024","9674","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Mar 12 02:38:10 UTC 2024","Tue Mar 12 02:38:13 UTC 2024","2903","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Mar 12 02:32:11 UTC 2024","Tue Mar 12 02:32:13 UTC 2024","1884","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Mar 12 03:58:53 UTC 2024","Tue Mar 12 04:03:00 UTC 2024","247468","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Tue Mar 12 04:38:35 UTC 2024","Tue Mar 12 04:38:36 UTC 2024","1606","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Tue Mar 12 02:44:02 UTC 2024","Tue Mar 12 02:44:03 UTC 2024","1723","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Mar 12 02:40:08 UTC 2024","Tue Mar 12 02:40:25 UTC 2024","16496","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Mar 12 02:43:14 UTC 2024","Tue Mar 12 02:43:22 UTC 2024","7680","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Mar 12 03:24:29 UTC 2024","Tue Mar 12 03:25:12 UTC 2024","42825","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Mar 12 02:34:09 UTC 2024","Tue Mar 12 02:34:24 UTC 2024","14585","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
